host_response_time,host_response_time_skala,host_identity_verified,host_is_superhost,host_total_listings_count,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
within a day,3,1,0,1,Pankow,Apartment,Private room,2,1,1,1,Real Bed,17,0,25,1,2,40,6,10,10,10,7,100,0,moderate
within a day,3,1,0,1,Pankow,Apartment,Entire home/apt,4,1,1,2,Real Bed,90,200,50,2,62,1125,0,8,8,229,144,92,0,strict_14_with_grace_period
within an hour,1,1,1,2,Pankow,Apartment,Private room,2,1,1,2,Real Bed,33,0,0,1,2,10,12,27,27,27,229,96,0,moderate
within a day,3,1,0,1,Pankow,Apartment,Entire home/apt,7,2.5,4,7,Real Bed,180,400,80,5,6,14,0,1,1,27,6,100,0,strict_14_with_grace_period
within a day,3,0,0,4,Pankow,Apartment,Entire home/apt,1,1,0,1,Real Bed,70,500,0,1,90,1125,0,12,42,317,23,93,0,strict_14_with_grace_period
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,2,Real Bed,120,0,0,1,30,52,30,60,90,365,0,,0,strict_14_with_grace_period
,,0,0,4,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,5,1,1,3,Real Bed,90,500,50,2,60,365,0,0,0,194,48,94,0,strict_14_with_grace_period
within an hour,1,0,0,2,Neukoelln,Apartment,Entire home/apt,2,1,,1,Real Bed,49,0,50,1,5,90,7,14,18,237,237,96,0,strict_14_with_grace_period
,,0,0,4,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,1,1,2,Real Bed,70,500,40,2,60,365,0,0,0,133,60,95,0,strict_14_with_grace_period
within an hour,1,1,1,2,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,1,2,2,Real Bed,98,300,60,2,2,30,0,0,3,168,72,94,0,strict_14_with_grace_period
within an hour,1,0,1,1,Mitte,Apartment,Entire home/apt,5,1,1,4,Real Bed,160,150,40,4,2,24,3,11,22,173,249,95,0,strict_14_with_grace_period
within a day,3,0,0,2,Pankow,Apartment,Entire home/apt,4,2.5,2,2,Real Bed,90,200,35,2,3,21,0,0,0,133,18,94,0,strict_14_with_grace_period
